PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.830 ms_nl=1.830 ms_d2h=0.156 ms_geo_pub=0.039 ms_cover=0.000 ms_shard=0.087 ms_pack=0.088 ms_pub=0.244 ms_wait_workers=91.721 ms_total=93.808 gen=68 n_edges_full=58070 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.859 ms_nl=1.859 ms_d2h=0.158 ms_geo_pub=0.040 ms_cover=0.000 ms_shard=0.101 ms_pack=0.102 ms_pub=0.260 ms_wait_workers=92.611 ms_total=94.744 gen=69 n_edges_full=58102 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.807 ms_nl=1.807 ms_d2h=0.157 ms_geo_pub=0.041 ms_cover=0.000 ms_shard=0.088 ms_pack=0.089 ms_pub=0.246 ms_wait_workers=92.533 ms_total=94.600 gen=70 n_edges_full=58118 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.819 ms_nl=1.819 ms_d2h=0.155 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.100 ms_pack=0.101 ms_pub=0.256 ms_wait_workers=91.813 ms_total=93.901 gen=71 n_edges_full=58088 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.726 ms_nl=1.726 ms_d2h=0.157 ms_geo_pub=0.039 ms_cover=0.000 ms_shard=0.089 ms_pack=0.090 ms_pub=0.247 ms_wait_workers=92.861 ms_total=94.848 gen=72 n_edges_full=58164 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.790 ms_nl=1.790 ms_d2h=0.157 ms_geo_pub=0.039 ms_cover=0.000 ms_shard=0.092 ms_pack=0.093 ms_pub=0.250 ms_wait_workers=92.052 ms_total=94.113 gen=73 n_edges_full=58124 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.845 ms_nl=1.845 ms_d2h=0.154 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.091 ms_pack=0.092 ms_pub=0.247 ms_wait_workers=91.806 ms_total=93.910 gen=74 n_edges_full=58128 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.774 ms_nl=1.774 ms_d2h=0.157 ms_geo_pub=0.040 ms_cover=0.000 ms_shard=0.093 ms_pack=0.094 ms_pub=0.251 ms_wait_workers=91.925 ms_total=93.964 gen=75 n_edges_full=58088 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.776 ms_nl=1.776 ms_d2h=0.154 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.080 ms_pack=0.082 ms_pub=0.236 ms_wait_workers=91.383 ms_total=93.409 gen=76 n_edges_full=58038 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.806 ms_nl=1.806 ms_d2h=0.156 ms_geo_pub=0.039 ms_cover=0.000 ms_shard=0.088 ms_pack=0.090 ms_pub=0.246 ms_wait_workers=92.284 ms_total=94.350 gen=77 n_edges_full=58028 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.770 ms_nl=1.770 ms_d2h=0.167 ms_geo_pub=0.050 ms_cover=0.000 ms_shard=0.092 ms_pack=0.093 ms_pub=0.260 ms_wait_workers=92.047 ms_total=94.090 gen=78 n_edges_full=58028 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.763 ms_nl=1.763 ms_d2h=0.155 ms_geo_pub=0.039 ms_cover=0.000 ms_shard=0.082 ms_pack=0.083 ms_pub=0.238 ms_wait_workers=93.308 ms_total=95.323 gen=79 n_edges_full=58024 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.797 ms_nl=1.797 ms_d2h=0.155 ms_geo_pub=0.038 ms_cover=0.000 ms_shard=0.094 ms_pack=0.095 ms_pub=0.250 ms_wait_workers=93.327 ms_total=95.389 gen=80 n_edges_full=58034 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.777 ms_nl=1.777 ms_d2h=0.153 ms_geo_pub=0.037 ms_cover=0.000 ms_shard=0.096 ms_pack=0.097 ms_pub=0.250 ms_wait_workers=96.013 ms_total=98.056 gen=81 n_edges_full=58068 mode=W7_twophase
PERF_PARENT world=4 ms_wrap=0.000 ms_vesin=1.816 ms_nl=1.816 ms_d2h=0.164 ms_geo_pub=0.046 ms_cover=0.000 ms_shard=0.101 ms_pack=0.103 ms_pub=0.267 ms_wait_workers=92.659 ms_total=94.755 gen=82 n_edges_full=58078 mode=W7_twophase
